City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,xiongyue,40.1774,122.1228,-2.73,49,94,2.98,CN,1675702605
262,gejiu,23.306,103.1635,7.99,82,1,1.71,CN,1675702606
263,cape coast,5.1053,-1.2466,27.88,79,64,7.54,GH,1675702606
264,warrington,53.3925,-2.5802,7.15,73,0,2.06,GB,1675702606
265,semey,50.4111,80.2275,-13.98,96,58,2.33,KZ,1675702607
266,richards bay,-28.783,32.0377,24.27,85,8,1.76,ZA,1675702483
267,codrington,-38.2667,141.9667,13.56,88,7,2.35,AU,1675702607
268,hopewell,37.3043,-77.2872,13.91,50,10,6.01,US,1675702608
269,cidreira,-30.1811,-50.2056,26.28,62,23,4.82,BR,1675702372
270,guerrero negro,27.9769,-114.0611,15.56,64,74,10.91,MX,1675702609
271,skjervoy,70.0311,20.9714,9.0,78,100,9.27,NO,1675702609
272,dudinka,69.4058,86.1778,-22.59,99,99,2.71,RU,1675702609
273,manga,11.6636,-1.0731,35.18,9,100,4.66,BF,1675702610
274,sainte-marie,-20.8968,55.5496,27.09,84,97,7.2,RE,1675702610
275,tual,-5.6667,132.75,27.04,80,100,5.31,ID,1675702610
276,goderich,43.7501,-81.7165,-1.72,80,85,3.09,CA,1675702311
277,olafsvik,64.8945,-23.7142,0.34,68,100,17.6,IS,1675702611
278,port shepstone,-30.7414,30.455,25.04,81,7,6.84,ZA,1675702611
279,mana,5.6592,-53.7767,26.82,78,51,5.01,GF,1675702612
280,antalaha,-14.9003,50.2788,24.5,90,100,2.48,MG,1675702612
281,romilly-sur-seine,48.5108,3.7263,7.21,67,7,3.45,FR,1675702613
282,the valley,18.217,-63.0578,27.68,69,20,9.26,AI,1675702613
283,aykhal,66.0,111.5,-36.77,100,93,1.65,RU,1675702615
284,bheramara,24.0232,88.9925,19.22,36,0,1.69,BD,1675702615
285,katsuura,35.1333,140.3,10.94,60,100,1.33,JP,1675702617
286,coolum beach,-26.5333,153.1,24.5,79,37,3.48,AU,1675702617
287,mount gambier,-37.8333,140.7667,12.09,93,12,2.19,AU,1675702618
288,athabasca,54.7169,-113.2854,-6.77,85,86,4.53,CA,1675702618
289,takoradi,4.8845,-1.7554,28.44,75,95,6.83,GH,1675702326
290,sao raimundo nonato,-9.0153,-42.6994,32.07,41,100,1.7,BR,1675702348
291,samagaltay,50.6022,95.0047,-22.84,98,63,0.62,RU,1675702620
292,jaguarari,-10.2639,-40.1958,32.18,34,81,4.28,BR,1675702620
293,cabinda,-5.55,12.2,29.08,74,20,4.12,AO,1675702434
294,luancheng,37.8792,114.6517,-3.91,60,90,1.49,CN,1675702621
295,balabac,7.9868,117.0645,26.51,82,54,3.93,PH,1675702621
296,sao miguel do araguaia,-13.275,-50.1628,31.0,58,52,0.95,BR,1675702622
297,ahipara,-35.1667,173.1667,17.16,90,17,3.13,NZ,1675702623
298,amaigbo,5.7892,7.8383,34.74,33,63,1.39,NG,1675702623
299,bima,-8.4667,118.7167,24.45,94,99,1.54,ID,1675702624
300,tagusao,9.1924,117.8141,25.69,85,49,2.2,PH,1675702626
301,ovalle,-30.5983,-71.2003,29.76,38,0,3.93,CL,1675702626
302,kjollefjord,70.9457,27.3465,1.9,93,75,15.43,NO,1675702627
303,kiruna,67.8557,20.2251,-0.49,86,0,6.69,SE,1675702629
304,eyl,7.9803,49.8164,24.56,70,77,7.97,SO,1675702630
305,japura,-0.3167,102.35,24.12,88,98,1.62,ID,1675702630
306,kailua,21.4022,-157.7394,23.99,86,75,4.12,US,1675702631
307,grand-lahou,5.1367,-5.0242,27.89,74,79,5.22,CI,1675702632
308,ust-nera,64.5667,143.2,-39.29,100,100,0.64,RU,1675702632
309,muros,42.7762,-9.0603,16.16,44,0,4.54,ES,1675702633
310,letterkenny,54.95,-7.7333,9.94,76,100,4.09,IE,1675702634
311,mahebourg,-20.4081,57.7,27.16,78,75,3.6,MU,1675702515
312,grand gaube,-20.0064,57.6608,27.22,81,97,1.79,MU,1675702514
313,chicama,-7.8447,-79.1469,23.3,64,77,3.14,PE,1675702637
314,petropavlovsk-kamchatskiy,53.0452,158.6483,-15.67,78,40,4.0,RU,1675702638
315,kununurra,-15.7667,128.7333,22.99,88,13,0.0,AU,1675702638
316,san ramon,37.7799,-121.978,10.06,89,0,0.65,US,1675702585
317,selcuk,37.9514,27.3685,6.68,71,100,8.14,TR,1675702640
318,vanavara,60.34,102.2797,-22.28,100,93,1.5,RU,1675702641
319,san rafael del sur,11.8485,-86.4384,29.54,41,0,8.43,NI,1675702642
320,moranbah,-22.0016,148.0466,23.62,94,86,5.12,AU,1675702643
321,torquay,50.4638,-3.5143,8.25,84,16,1.34,GB,1675702643
322,pierre,44.3683,-100.351,2.8,96,100,6.33,US,1675702874
323,kungurtug,50.5994,97.5228,-24.13,100,83,1.0,RU,1675702645
324,vila franca do campo,37.7167,-25.4333,14.23,96,100,2.82,PT,1675702646
325,santiago del estero,-27.7951,-64.2615,36.57,21,0,3.87,AR,1675702646
326,druzhnaya gorka,59.2761,30.1425,-3.13,90,100,3.45,RU,1675702647
327,hami,42.8,93.45,0.76,41,98,2.29,CN,1675702397
328,santa cruz,-17.8,-63.1667,30.03,66,75,7.2,BO,1675702447
329,westport,41.1415,-73.3579,11.06,50,0,8.23,US,1675702631
330,flers,48.7372,-0.5747,6.14,74,2,2.71,FR,1675702648
331,derzhavinsk,51.1,66.3167,-14.54,97,93,3.46,KZ,1675702648
332,spiridonovka,53.0925,50.6462,-16.26,100,79,1.49,RU,1675702649
333,morros,-9.4467,-46.3003,30.38,49,40,0.23,BR,1675702649
334,vrangel,42.7297,133.0839,-6.82,62,35,2.92,RU,1675702649
335,san quintin,30.4833,-115.95,13.71,62,43,8.98,MX,1675702650
336,winnipeg,49.8844,-97.147,-2.19,84,100,10.29,CA,1675702537
337,nome,64.5011,-165.4064,-12.96,72,0,5.66,US,1675702373
338,hunterville,-39.9333,175.5667,13.64,98,7,1.92,NZ,1675702650
339,fenoarivo,-18.933,47.4354,20.04,83,75,4.63,MG,1675702651
340,saint-joseph,-21.3667,55.6167,26.21,82,82,5.26,RE,1675702651
341,warrnambool,-38.3833,142.4833,14.09,86,27,2.13,AU,1675702649
342,kyren,51.6828,102.1408,-16.84,88,11,0.82,RU,1675702652
343,lao cai,22.4833,103.95,19.24,94,55,0.42,VN,1675702653
344,boa vista,2.8197,-60.6733,27.99,65,75,5.14,BR,1675702653
345,sao jose da coroa grande,-8.8978,-35.1478,27.6,69,96,5.46,BR,1675702653
346,fukue,32.6881,128.8419,11.06,93,100,8.07,JP,1675702654
347,cooma,-36.2333,149.1333,14.81,87,97,0.55,AU,1675702654
348,yar-sale,66.8333,70.8333,-27.77,100,100,2.03,RU,1675702655
349,ladario,-19.0047,-57.6017,30.05,88,100,3.09,BR,1675702655
350,srednekolymsk,67.45,153.6833,-38.14,100,97,2.63,RU,1675702656
351,kahului,20.8947,-156.47,23.8,92,22,3.13,US,1675702894
352,olinda,-8.0089,-34.8553,23.85,83,75,1.03,BR,1675702657
353,birao,10.2849,22.7882,29.93,10,13,2.59,CF,1675702657
354,melfi,40.9965,15.6514,-0.84,67,100,4.31,IT,1675702658
355,gushikawa,26.3544,127.8686,20.57,94,75,0.0,JP,1675702658
356,vila velha,-20.3297,-40.2925,31.97,72,0,7.72,BR,1675702440
357,iranshahr,27.2025,60.6848,20.19,32,0,0.0,IR,1675702659
358,wanning,18.8003,110.3967,22.1,92,22,1.0,CN,1675702660
359,iberia,29.9502,-91.7507,20.03,63,0,2.57,US,1675702661
360,alim,9.5649,122.4876,25.83,81,84,2.74,PH,1675702661
361,jiancheng,30.391,104.5491,13.36,61,98,1.78,CN,1675702662
